Name,Company,Year
Mary Barra,General Motors,2014
Gail Boudreaux,Anthem,2017
Ginni Rometty,IBM,2012
Indra Nooyi,PepsiCo,2006
Marilyn Hewson,Lockheed Martin,2013
Safra Catz,Oracle,2014
Phebe Novakovic,General Dynamics,2013
Tricia Griffith,Progressive Corporation,2016
Lynn Good,Duke Energy,2013
Michelle Gass,Kohl's,2018
Geisha Williams,Pacific Gas and Electric Company,2017
Margaret Keane,Synchrony Financial,2014
Barbara Rentler,Ross Stores,2014
Beth Ford,Land O'Lakes,2018
Vicki Hollub,Occidental Petroleum,2016
Anna Manning,Reinsurance Group of America,2017
Deanna Mulligan,Guardian Life Insurance Company of America,2011
Kathryn Marinello,Hertz Global Holdings,2017
Mary Laschinger,Veritiv,2014
Michele Buck,Hershey,2017
Joey Wat,Yum China Holdings,2018
Beth Mooney,KeyCorp,2011
Patti Poppe,CMS Energy,2016
Kathleen Mazzarella,Graybar Electric,2013
Mary Dillon,Ulta Beauty,2014
